"","LOC58500","FLJ23311","GMFG","FLJ20232","ENPP2","FLJ11068","MAPK7","MGC2508","C21orf91","PAPOLB","KIAA1239","KIAA0751","SPN","LOC51186","POU2F2","MGC2840","NSG-X","RAB13","FLJ12517","KIAA1033","BST1","label"
"GSM249618",2.30728131892296,0.932885804141463,1.33064531198847,3.12218743900949,2.10196241094545,3.67099594024861,3.22706890854592,3.18121501466154,0.830074998557688,2.91367520017563,3.48308288670194,1.85042364394949,-0.153623189113212,1.7927081460932,2.39301119294884,0.359328066692556,1.71049338280502,0.53051471669878,0.138827704697317,3.73368301017691,1.8942053359774,"control"
"GSM249619",2.63930233494806,1.48542682717024,1.77833602858607,3.09413368206382,2.4166759946746,3.82843464017643,2.81483004261975,3.93460227673048,1.05994254045628,3.75585868701394,3.95278536157917,1.91676613877819,0.241008099503795,2.00218424726188,4.36499681677925,0.661583782324069,1.58496250072116,0.76810410597511,0.084888897586513,3.11950709445609,2.50095652546385,"control"
"GSM249620",2.96054371110331,1.67872045313025,1.83816096883878,3.12779952576964,3.01676821338089,3.34866447735949,2.88808619417046,2.99740288851396,1.97909101023702,4.53211061845542,3.86761207703315,2.12898644072008,-0.212050477114989,2.44330135149757,3.63343957382939,1.27766370845835,1.26907621262163,1.22978708150757,0.264763219750545,3.79619137622714,3.08440693025626,"control"
"GSM249622",2.44920211436913,1.29628621163018,1.86081359674254,2.24517089590332,2.26396849135745,3.08438156920607,2.95347273181739,3.16992500144231,0.919295616499299,3.87820183679247,4.29628621163018,1.67666964188134,-0.59245703726808,1.59983577720269,4.13248308119428,1.3114248084681,0.760689788230002,0.899396059061594,0.094043489915138,3.61150266597138,2.81587270349931,"control"
"GSM249623",3.62944943669372,2.16481086974567,3.13792115149663,2.60322470711388,3.08367410702026,4.01826220639273,4.24937770124291,2.54772959452218,1.4932818104998,3.16378586434491,5.47211519063834,2.75386612510071,-0.802767652561952,2.25996810278601,3.24550728969047,0.282808079144122,1.93660043181956,0.824320323831881,1.03180873823068,3.35912002981494,3.14624841871924,"control"
"GSM249624",3.27500704749987,1.48800077083407,2,1.81147103052984,2.7158933705476,4.38543103719352,3.89772447021644,1.75915583380027,1.14404636961671,4.10349763970334,4.95233356636969,1.02502879449152,0.0565835283663675,2.8499992594661,6.66370040990302,1.25398926623079,2.01970191444255,0.752748591407134,0.137503523749935,3.80322703643493,3.09423606984577,"metastasis"
"GSM249625",2.24542995741332,0.883675882032768,2.01348322936362,3.07826985102564,2.24113834778095,2.86427335081025,3.04583014724612,2.80056575639497,0.753130413597213,3.39586094257959,4.27651763519742,1.82943986975989,-0.647246778975499,1.31513892922472,3.182662459251,0.732895929857159,1.28209866746072,-0.105353000146229,0.331379570231934,3.47413437050878,2.8605478612232,"control"
"GSM249627",2.78171899507075,1.1001942880526,1.90293258203984,0.489655540625429,1.54149447214505,3.83808143768987,3.4449864912917,2.8896602249468,1.34933425222801,2.83115538002419,5.56213785458084,0.424885285235191,0.0196288067489326,1.67745418082964,4.72605481995576,0.63035440353517,1.31002132820319,0.964993550172087,-0.0400774393753352,3.54911212279612,1.9801004425623,"metastasis"
"GSM249628",3.39415314645294,1.53525458146624,3.12994414658652,3.70281159708207,2.49886520149505,3.78121943494602,3.84004578543667,4.45627204677753,2.07881438317683,3.73155499833284,5.67136603890967,1.6305250781016,-0.752478593537531,3.29230932820931,4.48239276708061,0.38384287767525,2.09515723304034,1.15700911355703,0.292309328209307,3.93288580414146,3.33880191345176,"control"
"GSM249629",2.96015973546821,3.37158598119467,2.82489065778296,2.49222728775724,2.6543713432361,3.11978892128944,3.35741508106264,3.90576743864958,1.52965082742693,3.16742790858024,4.82072531552622,2.18296429651347,0.0818382920564613,2.2564702961763,4.85914196222957,0.0550713824936759,2.337561166254,0.79850647198944,-0.211208682843772,2.86088166303232,2.2935834691934,"control"
"GSM249630",2.65230596873606,1.37540403984241,1.85135591864486,3.44004150540874,1.5782209228421,3.56293619439116,3.70508857836421,5.29468500718355,1.58832151281107,2.98860524539989,4.99905386702857,1.68247900663542,-0.37851162325373,1.46218048267799,4.00377833923744,1.55093509692096,0.943416471633633,0.331981759551285,0.402371087442683,3.82026824086077,3.08686926171475,"control"
"GSM249631",1.9919025323014,1.38512192137456,1.57415574576457,1.84680014577219,2.29804546455028,4.08111573448446,3.33798794578346,3.5759625024702,1.47306962065026,3.76363354462829,4.69213402426895,1.48849966121987,-0.511500338780135,1.69546204198671,2.56508786524621,1.33051559072409,2.14336417517118,1.2513234233071,0.46529227005854,3.24792751344359,2.75089443279761,"control"
"GSM249632",2.65614126504314,1.34365286604208,1.83689919767162,2.73895414725966,2.52572329734648,3.39940684756508,3.15436419529226,3.56155789638621,1.27541813028963,4.09446906323143,4.30943715070417,1.44944753006468,-0.493408562831716,1.38614494815616,4.29683711392453,0.449447530064675,1.72698150559358,0.808775596757231,0.01976325482143,3.52485914934766,2.74044376540015,"control"
"GSM249633",3.38838637118885,1.65535182861255,1.7379957227647,3.90963597234734,2.72402653845871,3.4566184327458,3.37155886261196,1.91511110241349,1.38641682133908,3.60542660328087,4.9906307685073,1.86223882913073,0.859401669827199,2.6667565918848,5.0614676327174,0.245756414401958,1.75946023195329,0.543142325026529,0.41761144294267,3.18246529805999,3.13515958328164,"control"
"GSM249634",3.05276014487046,2.37064337992039,2.23482952457467,3.01179197733162,2.18602667573393,3.3291960953514,4.12260579338124,2.32192809488736,1.43133931160794,3.37134764893164,5.1507729995457,0.792708146093203,-0.54189377882927,2.02706824319817,3.85596956916091,1.20036611500645,1.32192809488736,0.570315724756755,0.084888897586513,3.34863874853335,3.09515723304034,"metastasis"
"GSM249635",3.23423403398096,1.83871909296694,2.46781453031671,2.13245029602365,2.83613129847778,3.22239242133645,3.62223958480328,2.90565699566941,1.42884329880387,3.43569696984494,4.6094155444457,1.31078753728216,-0.241008099503795,2.13666254731056,4.08963721248468,1.3256225784451,1.93859945533586,1.54748779530249,-0.465223256447061,3.95180774189277,2.81657345208698,"metastasis"
"GSM249636",0.559427409,-1.124545098,2.456470218,3.338108022,1.745617464,-0.055282436,-0.470319935,1.787067908,0.950342114,-1.411426246,-1.078002512,-0.287098111,-0.172639386,1.94753258,-0.579549005,4.754485693,-0.287098111,4.063009798,-0.485426827,1.599353593,1.053242021,"metastasis"
"GSM249637",3.55634740209081,2.37603550022681,2.72913360440779,4.06951390611643,2.80604159011357,3.95033764425951,3.85639579000062,3.67188470301411,1.43329970567157,4.03517558932908,5.28657983303333,1.92454777157053,-0.363883411328741,2.40408391787872,5.07987539679989,0.550869302052748,1.69122118811171,0.948553234581324,-0.411977699529786,3.22206420041798,3.1565903629407,"metastasis"
"GSM249638",4.22134963485022,2.21821674536525,2.73779928100876,3.32359498709,3.72398146057775,3.67650744259798,3.87938847626463,1.40772211577708,0.715118891867958,3.42490655874593,5.41653518558339,1.43881588487865,0.631460962821048,2.16899811734947,5.20448633554269,-0.390234108278271,2.87143346179162,0.715118891867958,0.454115021261535,3.72965021066445,3.78937344656138,"control"
"GSM249639",2.89469014200299,1.70393999088332,3.03654960436684,2.93198157657135,2.43997300903716,3.41882907844122,3.85220915784187,2.50695998871988,2.28501277492929,3.48474870962972,4.88572847924766,1.25986712675511,-0.22112745409987,2.12711191790334,3.75713556656987,1.93595594558865,0.868936244247313,0.720163238601671,-0.0941221773645501,3.16231181733244,2.69341359204171,"control"
"GSM249640",3.19129865223488,1.52636784681031,1.71854565509975,2.92401477339973,2.64643780998205,2.97420053056794,3.80581604720141,2.83477761752298,2.18183832298581,3.72913877557091,4.60279579380847,1.59568890731421,0.162729500038108,2.71034384198696,4.17529817354116,0.939535358736106,1.71854565509975,1.0160598508961,-0.183446141095931,4.24736075050529,2.52636784681031,"control"
"GSM249641",2.86190314083521,2.55620350773973,2.35012498671801,4.47829064588861,3.29703691934565,3.4757334309664,4.06154884039752,1.00946032924907,1.75769703575029,4.23739867579694,4.99167101580554,2.44381600572769,0.109624491174498,3.23991252037947,4.52644775935848,0.0466932354480416,1.96881834475172,0.961525852185364,1.25986712675511,4.06211716620392,3.33703498727757,"control"
"GSM249642",4.19942573451442,3.2680100011245,3.00813297197261,4.65713438912422,3.33563722818964,4.82766585330712,4.73515202379428,2.26273230237946,2.63367070592839,3.53330038089866,6.52568802505538,3.05599088115093,-0.351222401681401,2.8512154132794,5.63074731072163,-0.120924782259606,2.41730126098746,0.716522204954434,0.914122164839595,4.23528061711554,3.73024396562344,"control"
"GSM249643",3.30856495301067,2.77333798383117,1.61867186232793,3.68699713489212,3.06257247143167,3.72386060654284,4.11901468149114,2.54344323128289,1.60191563400235,3.67503111350748,5.58325617877075,2.12723518829611,-0.0951572330403401,2.64344685652162,5.14700640920916,0.286713402303304,1.99743975968144,0.843442222295517,0.518660130353001,3.66699826958717,3.60612297160334,"control"
"GSM249644",4.41372631583779,2.48212786607165,3.8073549220576,4.33195846002463,4.13359028681153,3.68747741134709,3.39550922726847,1.50742590025014,2.40028373258882,3.59402074614255,5.4828782926378,1.90016473242021,-1.1594782140072,4.22837127382587,4.64217766132373,0.281094377378785,2.87523144028045,2.51917908167581,1.20309186537751,3.57655026090496,3.98259568132266,"control"
"GSM249646",-0.0516841552889309,0.531815907353739,0.617039207222769,2.90152163323213,2.73865691328241,0.817593251687013,1.45055821563011,0.505235308250422,0.903784684740697,1.55215635563791,2.19739686828318,0.140960922653465,-0.32087078810432,0.673834912226167,0.630766190334281,0.186284913162955,-0.274076576625379,0,-0.396819641337619,1.4081460529464,0.586372070975828,"control"
